answer_id,question_id,accepted
27,1,True
48,2,True
6,3,True
4,1,False
7,3,False
36,8,True
32,10,True
652,13,True
15,8,False
62,16,True
84,17,True
64,18,True
88,20,True
22,16,False
35,29,True
30,18,False
37,13,False
38,2,False
59,40,True
41,2,False
60,42,True
54,46,True
47,43,False
52,40,False
53,42,False
61,58,False
69,16,False
112,71,True
73,71,False
74,71,False
76,2,False
80,79,True
81,43,False
95,82,True
86,85,True
90,8,False
107,93,True
97,94,True
110,98,True
100,96,False
201,104,True
117,111,True
118,96,False
121,40,False
164,123,True
202,125,True
163,127,True
2564,128,True
136,133,False
139,133,False
145,143,True
221,144,True
148,98,False
149,96,False
174,152,True
153,152,False
167,157,True
171,158,True
175,166,True
170,159,False
192,176,True
184,177,True
179,176,False
185,158,False
191,186,True
187,111,False
205,196,True
4904,197,True
199,197,False
215,176,False
217,216,True
268,218,True
223,222,True
232,229,True
256,243,True
257,243,False
262,71,False
291,263,True
266,264,True
282,269,True
304,270,True
293,289,False
301,299,True
306,186,False
328,307,True
345,313,True
314,313,False
315,313,False
322,316,True
324,317,True
321,320,True
326,325,False
327,275,False
341,339,True
343,342,False
347,339,False
350,313,False
354,351,True
100144,355,True
361,355,False
1242,363,True
366,358,False
367,363,False
374,371,True
684,372,True
376,372,False
385,381,True
384,382,True
387,363,False
390,351,False
401,394,False
403,394,False
421,404,True
540,409,True
413,408,False
417,416,False
435,420,True
432,425,True
429,426,False
430,426,False
431,420,False
451,449,False
452,449,False
454,453,False
458,456,True
459,457,False
460,449,False
469,462,True
473,462,False
476,475,True
486,484,False
494,493,True
510,495,True
496,480,False
498,316,False
502,499,True
503,501,False
504,495,False
506,499,False
507,501,False
508,501,False
509,499,False
514,491,False
517,501,False
520,519,True
2568,527,True
533,532,False
538,532,False
2489,541,True
1424,542,True
548,543,True
544,542,False
545,541,False
547,541,False
3830,559,True
561,559,False
567,565,True
566,565,False
2496,569,True
570,569,False
599,571,True
574,569,False
576,575,True
578,577,True
580,579,True
989,581,True
582,579,False
592,583,True
584,581,False
589,586,True
593,579,False
594,586,False
598,577,False
602,601,True
603,579,False
616,612,False
618,610,False
619,610,False
620,609,False
626,586,False
635,628,True
633,610,False
641,637,True
640,637,False
645,628,False
673,647,True
688,672,True
675,672,False
677,176,False
687,683,True
689,672,False
692,683,False
694,683,False
701,698,False
703,698,False
722,720,False
723,720,False
728,727,True
766,757,True
762,683,False
769,317,False
785,780,True
782,780,False
784,780,False
946,819,True
825,824,False
837,630,False
838,176,False
845,843,False
848,843,False
850,176,False
851,843,False
853,843,False
884,869,True
871,869,False
876,843,False
881,877,True
892,869,False
904,895,True
899,890,False
907,901,False
913,910,False
930,919,True
932,869,False
939,143,False
953,951,True
958,579,False
959,951,False
973,966,True
967,963,False
1000,968,True
975,968,False
976,968,False
990,979,True
987,94,False
994,988,True
991,988,False
995,968,False
1005,1002,False
1018,527,False
1162,1020,True
1049,1029,True
1033,1031,True
1032,1029,False
1041,601,False
1051,1031,False
1053,1052,True
1055,358,False
1057,1052,False
1066,1064,False
20612,1070,True
1083,1082,False
1148,1091,True
1101,1092,True
1105,1091,False
1108,1092,False
1141,1137,True
1163,1143,True
1151,1144,True
1157,1143,False
1158,1144,False
1160,1144,False
1170,1169,True
1180,1171,True
1178,1171,False
1181,1171,False
1185,1144,False
1223,1188,True
1190,1188,False
1199,1194,True
1205,1171,False
1206,527,False
1211,1209,True
1216,1213,True
1244,1241,True
1252,1249,False
1262,1260,False
1265,3,False
1270,1268,True
1269,1268,False
1307,1273,True
1280,1274,True
1275,1273,False
1276,1273,False
1317,1315,False
1338,1323,True
1333,1332,True
1337,1336,True
1341,1339,True
1342,1339,False
1350,1348,False
1351,1347,False
1395,1353,True
1444,1354,True
1371,1359,True
1377,1361,True
1363,1353,False
1365,1348,False
1369,1360,False
1379,1359,False
1393,1360,False
1399,1396,False
1420,1401,True
1440,1402,True
1404,1402,False
1405,1401,False
1407,1406,True
1408,1406,False
1428,1396,False
1436,1435,True
4392,1445,True
2474,1452,True
1466,1464,False
1467,1460,False
2466,1451,False
2470,2469,True
2473,2469,False
2488,2484,False
2539,2498,True
2511,2503,True
2508,2507,False
2533,2516,True
2520,2516,False
2523,2512,False
2524,2507,False
2528,2526,True
2531,2507,False
2534,2516,False
2548,2507,False
2555,2507,False
2563,43,False
2574,2526,False
2663,2578,True
2582,2578,False
2583,2578,False
2593,2590,False
2607,2606,False
2608,2590,False
2613,144,False
2615,541,False
2630,2625,True
2626,2625,False
2632,2629,True
2637,2611,False
2664,2640,True
2641,2638,False
2653,2648,False
2662,2657,True
2660,2657,False
2667,2648,False
2687,2671,True
2674,2672,True
2675,2623,False
2677,2648,False
2682,1052,False
2691,2657,False
2692,2623,False
2696,2623,False
2699,2698,True
2700,2698,False
2709,2703,True
2714,2710,False
2720,2715,True
2723,2711,False
2734,2726,True
2740,2711,False
2747,2743,True
2744,2655,False
2748,2743,False
2795,2671,False
2815,2796,True
2814,2808,True
2825,8,False
2827,2810,False
2829,2810,False
2840,2838,False
2868,2856,True
2867,2861,True
2885,2869,True
2871,2870,True
2879,2855,False
2889,2886,True
2899,2895,True
2898,2895,False
2900,2838,False
2905,2895,False
2935,2906,True
3066,2909,True
2933,2918,True
2922,79,False
2925,2918,False
2948,2947,True
2959,2475,False
2973,2966,True
2970,2966,False
2974,2965,False
2987,2975,True
2989,2983,True
3296,2991,True
3011,3001,False
3029,3013,False
3036,3013,False
3048,3040,True
3045,85,False
3067,3049,True
3051,3049,False
3063,2,False
3088,3086,True
3095,3090,True
3110,3107,True
3111,3108,True
3123,3049,False
3133,3129,True
3145,3136,True
3140,3136,False
3161,3146,True
3151,3148,True
3150,3146,False
3166,3136,False
3169,3135,False
3178,3136,False
3191,3188,True
3197,3188,False
3201,3188,False
3212,3188,False
3215,3188,False
3229,3224,True
3245,3226,True
3231,3226,False
3239,3235,True
3240,3226,False
3254,3246,True
3270,3260,False
3271,3246,False
3285,3260,False
3290,3135,False
3315,3293,True
3326,3320,True
3325,3320,False
3340,3338,True
3350,3347,True
3354,3348,True
3351,3347,False
3352,3347,False
3353,3347,False
3362,3358,True
3363,3358,False
3364,3358,False
3375,3372,True
3379,3373,True
3374,3373,False
3376,3372,False
3381,3372,False
3384,3347,False
3391,3386,True
3401,3397,True
3406,3386,False
3414,3413,False
3433,3429,True
3432,3429,False
3434,3413,False
3440,3429,False
3448,3429,False
3451,3449,False
3466,3458,True
3463,3267,False
3492,3478,True
3480,3478,False
3482,3429,False
3483,3458,False
3485,3484,True
3490,3474,False
3491,3478,False
3494,3429,False
3556,3510,True
3560,3429,False
3579,3478,False
3604,3601,True
3606,3601,False
3616,3615,False
3625,3623,True
3628,3623,False
3658,3646,True
3647,3646,False
3651,3642,False
3668,3665,True
3693,3689,False
3703,3689,False
3727,3714,True
3751,3722,True
